,,,,,,,,,,,MUA VÀO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,HÃNG XE,LOẠI XE,TÌNH TRẠNG,BIỂN KIỂM SOÁT,SỐ KM,MÀU XE,NĂM SX XE,GIÁ ĐĂNG BÁN,GIÁ THU VỀ,LƯƠNG CTV,GIÁ MUA VÀO,LẦN 1,LẦN 2,LẦN 3,CÒN LẠI,HOA HỒNG MÔI GIỚI,CHI PHÍ XĂNG/CĐ/VÉ XE,CHI PHÍ KHÁC,NGÀY NHẬP KHO,THÁNG NHẬP XE,PHỤ TRÁCH MUA XE,LƯƠNG THU MUA,CHI PHÍ SỬA CHỮA,CHI PHÍ DỌN XE ĐÁNH PÁT,GHI CHÚ,GIÁ BÁN,NGÀY NHẬN CỌC,CHI PHÍ CÔNG CHỨNG,PHÍ RÚT HỒ SƠ,CHI PHÍ ĐỔI/ THUÊ PIN,CHI PHÍ KHÁC (Tặng hoa + phụ kiện....),HOA HỒNG MÔI GIỚI,PHỤ TRÁCH BÁN HÀNG,LƯƠNG BÁN HÀNG,"CỘNG GIÁ THÀNH
(GIÁ BÁN - CP KHÁC)",GIÁ VỐN (GIÁ MUA+CP KHÁC),LỢI NHUẬN GỘP,THU TIỀN LẦN 1,THU TIỀN LẦN 2,THU TIỀN LẦN 3,THU TIỀN LẦN 4,CÒN PHẢI THU BÁN XE,HÌNH THỨC THANH TOÁN,NGÂN HÀNG,SỐ TIỀN VAY,SỐ NGÀY TỒN KHO,ĐÃ HOÀN BÁN,GHI CHÚ KHÁC,,,,5/21/2026
10,VINFAST,VF9 PLUS,,,7.000,Đen,2024,,15.000.000,,0,,,,,,,,,4,Hoàng Thái,6.600.000,,,,15.000.000,,1.800.000,,,,,,,13.200.000,6.600.000,6.600.000,15.000.000,,,,0,,,,46163,/04/25,Sang lái HN Thái nhận 50% HH,,,,
11,VINFAST,VF E34,PIN TIÊN PHONG,51K-55872,20.000,Trắng,2022,505.000.000,495.000.000,5.000.000,450.000.000,,,,,,,,4/12/2025,4,Vũ,3.000.000,,,,485.000.000,08/05/2024,1.800.000,2.500.000,,,,Vũ,2.000.000,478.700.000,453.000.000,25.700.000,30.000.000,300.000.000,155.000.000,,0,,,,404,/05/25,Vũ bán cho anh Thức,,,,
12,MITSUBISHI,OUTLANDER PRE 4X4,,51G,127.000,Xám,2019,,,,460.000.000,,,,,,,,4/11/2025,4,Tuấn,15.000.000,,,,490.000.000,,,,,,,,,490.000.000,475.000.000,15.000.000,490.000.000,,,,0,,,,405,/04/25,Sang lái Tuấn nhận 50% hh,,,,
13,MAZDA ,MAZDA 3 PRE,,72A57867,28.000,Đỏ,2022,599.000.000,590.000.000,5.000.000,550.000.000,,,,,,300.000,,4/12/2025,4,Công Vinh,3.000.000,1.000.000,,,600.000.000,02/05/2025,900.000,2.500.000,,9.340.000,,,5.000.000,582.260.000,554.300.000,27.960.000,20.000.000,470.000.000,85.000.000,25.000.000,0,,,,404,/06/25,Bao sang tên,,,,
14,VINFAST,E34,PIN TIÊN PHONG,65A,,Đỏ,2022,,,,433.000.000,,,,,,,,,3,,,,,,455.000.000,29-04-2025,1.700.000,,,3.485.000,,,,449.815.000,433.000.000,16.815.000,455.000.000,,,,0,,,,46163,/04/25,Bán cho GF,,,,
15,TOYOTA ,CAMRY  2.5Q,,51H45598,54.000,Đen,2020,875.000.000,860.000.000,5.000.000,780.000.000,,,,,3.000.000,,1.000.000,4/18/2025,4,Tuấn,3.000.000,1.000.000,7.000.000,,850.000.000,14/07/2025,1.800.000,2.500.000,,338.000,6.000.000,Hà Tuấn,8.000.000,831.362.000,795.000.000,36.362.000,10.000.000,810.000.000,30.000.000,,0,,,,398,/07/25,Bao vận chuyển và check hãng,,,,
16,VINFAST,LUX A PLUS,,61K-12480,56.000,Xám,2022,615.000.000,605.000.000,5.000.000,538.000.000,,,,,,,5.000.000,4/17/2025,4,Công Vinh,3.000.000,3.199.000,1.900.000,,590.000.000,29/04/2025,900.000,2.100.000,,600.000,,Công Vinh,5.000.000,581.400.000,551.099.000,30.301.000,10.000.000,220.000.000,360.000.000,,0,,,,399,/05/25,Cáp đổi lux A 2019 khách bù 230 tr,,,,
17,VINFAST,VF3,MUA PIN,60C-77227,2.000,TRắng,2025,295.000.000,290.000.000,3.000.000,260.000.000,,,,,,,,4/21/2025,4,Công Vinh,3.000.000,,,,292.000.000,21-04-2025,700.000,,,,5.000.000,,,286.300.000,263.000.000,23.300.000,10.000.000,282.000.000,,,0,,,,395,/04/25,,,,,
18,VINFAST,FADIL BASE,,64E-00235,126.000,ĐỎ,2020,,,,200.000.000,,,,,,,,,,Tuấn,,,,,202.000.000,25-04-2025,,,,,,,,202.000.000,200.000.000,2.000.000,202.000.000,,,,0,,,,46163,/04/25,Sang lái ko lương,,,,
19,VINFAST,LUX A PLUS,,51L-38117,24.000,Đen,2022,665.000.000,655.000.000,5.000.000,600.000.000,,,,,,,,4/22/2025,4,Công Vinh,3.000.000,,,,650.000.000,12/05/2025,,2.300.000,,,3.000.000,,3.000.000,641.700.000,603.000.000,38.700.000,20.000.000,630.000.000,,,0,,,,394,/05/25,,,,,
20,VINFAST,E34,,51K-52858,8.000,Đen,2022,490.000.000,480.000.000,5.000.000,428.200.000,,,,,,,3.240.000,,5,Hoàng Thái,3.000.000,,,,460.000.000,23-04-2025,,,,,,Vũ,2.000.000,458.000.000,434.440.000,23.560.000,460.000.000,,,,0,,,,46163,/05/25,"Sang Lái Anh Thức HN ( giữ lại 1,8tr phí thuê pin)",,,,
21,KIA ,MORNING LUXURY,,51H-35089,31.000,Vàng,2020,310.000.000,300.000.000,3.000.000,267.000.000,,,,,,,,4/23/2025,4,Bình,3.000.000,1.050.000,5.100.000,,290.000.000,02/08/2025,600.000,2.300.000,5.860.000,400.000,,Bình,3.000.000,277.840.000,276.150.000,1.690.000,10.000.000,250.000.000,30.000.000,,0,,,,393,/08/25,Bao sang tên,,,,
22,VINFAST,LUX A PREMIUM,,83A-17706,34.000,Đen,2021,670.000.000,660.000.000,5.000.000,610.000.000,,,,,5.000.000,,300.000,4/25/2025,4,Vũ,3.000.000,,,GF,662.000.000,12/05/2025,500.000,1.500.000,,360.000,,Hà Tuấn,5.000.000,654.640.000,618.300.000,36.340.000,642.000.000,20.000.000,,,0,,,,391,/05/25,,,,,
23,VINFAST,LUX A BASE,,51L-15863,68.000,Xám,2019,,,,360.000.000,,,,,,,,5/7/2025,5,Công Vinh,3.000.000,,,,385.000.000,,,,,,,Tuấn,2.000.000,383.000.000,363.000.000,20.000.000,385.000.000,,,,0,,,,379,/05/25,Tuấn bán anh Thức HN,,,,
24,VINFAST,LUX A PLUS,,51H-80436,19.000,Đen,2020,570.000.000,560.000.000,5.000.000,515.000.000,,,,,,200.000,400.000,5/8/2025,5,Việt,3.000.000,4.300.000,5.200.000,,560.000.000,18/06/2025,,2.600.000,,1.500.000,,Vinh,5.000.000,550.900.000,528.100.000,22.800.000,50.000.000,400.000.000,90.000.000,20.000.000,0,,,,378,/06/25,Cọc 2 tr,,,,
25,VINFAST,FADIL PLUS,,60K-08970,7.000,Xám,2022,350.000.000,340.000.000,3.000.000,304.000.000,,,,,,,,5/10/2025,5, Công Vinh,3.000.000,2.000.000,,GF,345.000.000,01/06/2025,500.000,1.500.000,,5.596.000,,Hoàng Thái,3.000.000,334.404.000,309.000.000,25.404.000,10.000.000,315.000.000,20.000.000,,0,,,,376,/06/25,"Khách bỏ cọc 5 tr
Bao sang tên",,,,
26,MAZDA ,MAZDA 3 PRE,,51H-65472,64.000,Trắng,2020,530.000.000,520.000.000,5.000.000,460.000.000,,,,,6.000.000,,450.000,5/13/2025,5,Hoàng Thái,3.000.000,,,GF,510.000.000,19/05/2025,400.000,2.300.000,,,,Phú,5.000.000,502.300.000,469.450.000,32.850.000,5.000.000,505.000.000,,,0,,,,373,/05/25,,,,,
27,VINFAST,FADIL PLUS,,88A-51232,50.000,Xanh,2022,340.000.000,330.000.000,3.000.000,280.000.000,,,,,5.000.000,,505.000,5/16/2025,5,Tuấn,3.000.000,1.950.000,1.100.000,GF,290.000.000,,,,,1.200.000,,Thái,,288.800.000,291.555.000,(-2.755.000),290.000.000,,,,0,,,,370,/07/25,,,,,
28,MAZDA ,MAZDA 3 SPORT PRE,,51H-70565,67.000,Trắng,2019,535.000.000,525.000.000,5.000.000,476.000.000,,,,,,200.000,,5/15/2025,5,Hoàng Thái,2.000.000,7.211.000,,GF,530.000.000,26/05/2025,500.000,2.300.000,,6.506.000,14.450.000,Hồng My,5.000.000,501.244.000,485.411.000,15.833.000,5.000.000,525.000.000,,,0,,,,371,/05/25,Bao sang tên HCM (đã hoàn cho a quyên 238 tr),,,,
29,VINFAST,VF3,THUÊ PIN,61K-47098,6.000,Xanh,2024,235.000.000,230.000.000,3.000.000,195.000.000,,,,,2.000.000,,350.000,5/16/2025,5,Vũ,3.000.000,,,,236.360.000,18/05/2025,350.000,2.500.000,,3.735.484,3.360.000,Hà Tuấn,3.000.000,223.414.516,200.350.000,23.064.516,5.000.000,5.000.000,200.000.000,26.360.000,0,,,,370,/05/25,Bao DV đăng ký HCM,,,,
30,VINFAST,LUX A PRE ,,65A-31132,31.000,Đen,2021,650.000.000,640.000.000,5.000.000,582.000.000,,,,,4.000.000,500.000,,5/22/2025,5,Tuấn,3.000.000,1.650.000,,GF,630.000.000,13/06/2025,350.000,1.800.000,,,,Hà Tuấn,5.000.000,622.850.000,591.150.000,31.700.000,500.000.000,100.000.000,30.000.000,,0,TRẢ THẲNG,,,364,/06/25,,,,,
31,VINFAST,VF3,MUA PIN,72A-92053,30,trắng,2025,270.000.000,260.000.000,3.000.000,230.000.000,,,,,,200.000,,5/28/2025,5,Tuấn,3.000.000,,,,265.000.000,29/05/2025,500.000,,,,,Hồng My,3.000.000,261.500.000,233.200.000,28.300.000,10.000.000,255.000.000,,,0,,,,358,/05/25,,,,,
32,VINFAST,LUX A PRE,,67A-30898,60.000,trắng,2021,640.000.000,630.000.000,5.000.000,540.000.000,,,,,6.000.000,1.150.000,,5/26/2025,5,Tân,3.000.000,300.000,,GF,640.000.000,01/06/2025,900.000,2.500.000,,13.310.000,,Vinh,5.000.000,618.290.000,550.450.000,67.840.000,20.000.000,610.000.000,10.000.000,,0,,,,360,/06/25,Bao sang tên,,,,
33,VINFAST,VF5 PLUS,MUA PIN,51L-46570,19.000,trắng,2023,455.000.000,445.000.000,5.000.000,398.000.000,,,,,5.000.000,,,6/5/2025,6,vinh,3.000.000,,,,440.000.000,05/06/2025,500.000,2.300.000,,110.000,,,5.000.000,432.090.000,406.000.000,26.090.000,10.000.000,420.000.000,10.000.000,,0,,,,350,/06/25,,,,,
34,TOYOTA ,VIOS E,,51K-34412,,Ghi,2022,,,,310.000.000,,,,,3.000.000,,350.000,,6,Vũ,5.600.000,,,,325.000.000,07/06/2025,400.000,,,,,,,324.600.000,318.950.000,5.650.000,320.000.000,5.000.000,,,0,,,,46163,/06/25,Vũ mua sang lái luôn hưởng 50% lương,,,,
35,VINFAST,LUX A PRE,,51H-14752,23.000,Xám,2019,585.000.000,575.000.000,5.000.000,525.000.000,,,,,3.000.000,200.000,,6/10/2025,6,Thái,3.000.000,,,GF,575.000.000,17/06/2025,350.000,2.300.000,,1.500.000,,vinh,5.000.000,565.850.000,531.200.000,34.650.000,20.000.000,545.000.000,10.000.000,,0,,,,345,/06/25,,,,,
36,VINFAST,E34,,,,Đỏ,,,,,,,,,,,,,,6,Tân,8.000.000,,,,18.000.000,11/06/2025,,,,,,Vũ,2.000.000,16.000.000,8.000.000,8.000.000,18.000.000,,,,0,,,,46163,/06/25,,,,,
37,VINFAST,VF3,THUÊ PIN,79A- 57508,3.000,Xám,2024,245.000.000,240.000.000,3.000.000,204.000.000,,,,,,,350.000,12/06/2025,6,Tuấn,3.000.000,,,,235.000.000,19/06/2025,450.000,4.000.000,,1.350.000,,Vinh,3.000.000,226.200.000,207.350.000,18.850.000,10.000.000,195.000.000,30.000.000,,0,,,,343,/06/25,,,,,
38,VINFAST,VF5 PLUS,MUA PIN,51L- 42106,10.000,TRắng,2024,475.000.000,465.000.000,5.000.000,426.000.000,,,,,5.000.000,,,12/06/2025,6,Thái,3.000.000,1.150.000,,,471.500.000,04/07/2025,600.000,2.300.000,596.000,9.406.000,,Tuấn,5.000.000,453.598.000,435.150.000,18.448.000,461.500.000,10.000.000,,,0,,,,343,/07/25,Bao sang tên cáp đổi Ford ,,,,
39,VINFAST,VF3,MUA PIN,60C-75457,14.000,Xanh bộ đội,2024,270.000.000,265.000.000,3.000.000,232.000.000,,,,,2.000.000,,,6/16/2025,6,Vinh,3.000.000,800.000,,,255.000.000,30/06/2025,500.000,1.500.000,,1.800.000,,My,3.000.000,248.200.000,237.800.000,10.400.000,5.000.000,200.000.000,30.000.000,20.000.000,0,,,,339,/06/25,,,,,
40,TOYOTA ,VIOS E CVT,,84A-06190,57.000,trắng,2020,385.000.000,375.000.000,5.000.000,330.000.000,,,,,,1.000.000,350.000,6/17/2025,6,Tuấn,3.000.000,530.000,,GF,375.000.000,18/08/2025,500.000,2.500.000,7.650.000,400.000,360.000,Hà Tuấn,5.000.000,358.590.000,334.880.000,23.710.000,10.000.000,250.000.000,95.000.000,20.000.000,0,,,,338,/08/25,Bao sang tên,,,,
41,VINFAST,VF5 PLUS,MUA PIN,70H-07367,4.800,trắng,2025,485.000.000,475.000.000,5.000.000,440.000.000,,,,,,,300.000,6/17/2025,6,Hà Tuấn,3.000.000,,,,450.000.000,23/05/2025,750.000,,,400.000,,,,448.850.000,443.300.000,5.550.000,450.000.000,,,,0,,,,338,/06/25,,,,,
